年份,总结,特点
2016,2016年度平均脸呈现偏圆脸型轮廓，三庭比例协调，中庭略长显成熟稳重。眼部特征明显，眼型圆润饱满，配合适中眼距，形成亲和力较强的面部印象。鼻翼宽度适中，与面部整体比例和谐，凸显东方审美中的精致感。整体面部轮廓柔和，五官分布均衡，兼具成熟韵味与亲和力，符合当代东亚审美标准。,最大的特点是亲和力，面部轮廓偏圆润，配合饱满的圆眼，整体气质最具有邻家般的亲切感。
2017,2017年度平均脸呈现典型的长脸型特征，面部轮廓修长流畅，三庭比例协调，中庭略长彰显成熟气质，眉眼间距适中，眼型偏圆润且饱满，给人亲和感强的印象，鼻翼宽度适中，与面部整体比例和谐，整体骨相清晰而皮相细腻，兼具东方审美的端庄与现代感。,与前一年不同，这一年呈现出典型的长脸型特征，面部轮廓更加修长流畅，骨相清晰，气质更偏向成熟。
2018,2018年度平均脸呈现出典型的东亚骨相特征，面部长宽比接近1.19，属于偏长脸型；中庭与下庭比例约为1.13，中庭略长，彰显成熟气质；眼型圆润，圆度达0.37，呈现饱满的杏仁状；眼间距适中，面部协调感强；鼻翼宽度适中，与面部比例和谐，整体呈现出兼具成熟韵味与亲和力的面部美学特征。,强调标准的东亚骨相，面部长宽比达到特定的1.19，眼型是极其标准的饱满杏仁状。
2019,2019年度平均脸呈现偏圆脸型特征，面部长宽比例协调，中庭略长于下庭，彰显成熟稳重气质。眼型偏圆润，眼距适中，眼神亲和力强。鼻翼宽度适中，与面部整体比例和谐，形成端庄而不失柔和的东方美学特征，整体呈现出平衡而富有亲和力的面部轮廓。,重点在于比例的协调性，中庭略长于下庭的特征非常显著，强调整体面部布局的平衡感。
2020,2020年度平均脸呈现偏圆轮廓，三庭比例中中庭略长，彰显成熟气质。眼型偏圆润，眼距适中，形成亲和力。鼻翼宽度适中，与面部整体协调，凸显东方审美中的精致骨相。整体面部特征平衡，既有成熟女性的稳重，又不失亲和力，符合当代审美趋势。,突出精致的骨相美，在圆润轮廓的基础上，特别强调了鼻翼与面部的协调，凸显东方审美中的骨骼立体感。
2021,2021年度平均脸呈现偏圆脸型特征，三庭比例中中庭略长，整体面部轮廓偏向成熟稳重。眼型偏圆润，赋予面部柔和感，眼距适中，既不过于紧凑也不过于分散。鼻翼宽度适中，与面部整体比例协调，形成平衡和谐的五官布局。这种面部特征体现了传统与现代审美的融合，既有东方古典美学的温婉，又不失现代审明的立体感。,特征是传统与现代审美的融合，面部轮廓虽圆润但更具立体感，兼具古典温婉与现代审明的立体结构。
2022,2022年度平均脸呈现偏圆脸型特征，三庭比例显示中庭略长，彰显成熟气质；眼型偏圆且眼距适中，赋予亲和力；鼻翼宽度适中，与面部整体协调。整体骨相结构匀称，皮相细腻，符合当代东亚审美中对精致与平衡的追求，展现出既端庄又不失柔和的面部美学特征。,侧重于皮相的细腻度，在端庄的基础上更强调皮肤质感与整体结构的平衡，追求一种极致的温润感。
2023,2023年度平均脸呈现偏圆脸型轮廓，面部比例协调，中庭略长于下庭，展现出适度成熟感。眼型偏圆润，眼距适中，赋予面容亲和力而不失灵动感。鼻翼宽度适中，与面部整体比例和谐，形成自然流畅的侧面轮廓。整体面部特征兼具东方审美的柔和与现代气质，骨相与皮相比例平衡，呈现出既端庄又不失活力的面部美学特征。,最大的区别在于灵动感，中庭与下庭的比例带来适度成熟感的同时，侧面轮廓自然流畅，不显呆板。
2024,2024年度平均脸呈现偏圆润的鹅蛋脸轮廓，长宽比接近1.19，面部线条柔和流畅。中庭比例略长，约1.16，展现出成熟稳重的气质特征。眼型偏圆，圆度达0.37，配合适中的眼距，形成亲和力较强的眉眼布局。鼻翼宽度适中，与整体面部比例协调，凸显自然和谐的骨相结构，整体呈现出兼具成熟感与亲和力的东亚审美特征。,呈现标准的鹅蛋脸（Oval Face），线条是这十年中最柔和流畅的，眉眼布局特别强调了温柔的气质。
2025,2025年度平均脸呈现偏圆润的脸型轮廓，三庭比例中中庭略长，彰显成熟气质。眼型偏圆润饱满，眼距适中，赋予亲和力而不失疏离感。鼻翼宽度适中，与整体面部比例协调，形成柔和的骨相结构。整体面部特征兼具成熟韵味与柔和美感，符合当代审美趋势中的平衡与和谐特质。,风格发生显著变化，出现了疏离感，与往年的亲和力不同，这一年的平均脸在柔和骨相中透出一种清冷的高级感。
